id,month_series,month,study,table,cohort,sex,measure,treatment,z,SE,SD,SD_lower,SD_upper,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated_gnrha,age,age_0,n,baseline,baseline_SE,baseline_SD,abs_per,abs_per_SE
6,0,0,Schagen,2,M_early,M,spine_BMAD,GnRHa,-0.33,0.33,1.2780845042484477,-0.66,0,0.22,g/cm^3,0.03872983346207417,0.18127016653792583,0.2587298334620742,0.01,24,14.1,14.1,15,-0.33,NA,NA,1,0.045454545454545456
6,24,24,Schagen,2,M_early,M,spine_BMAD,GnRHa,-1.19,0.34,1.316814337710522,-1.53,-0.8499999999999999,0.22,g/cm^3,0.03872983346207417,0.18127016653792583,0.2587298334620742,0.01,24,16.1,14.1,15,-0.33,NA,NA,1,0.045454545454545456
51,0,0,Schagen,4,M_early,M,spine_BMAD,Estrogen,-1.39,0.36,1.39427400463467,-1.75,-1.0299999999999998,0.2,g/cm^3,0.30983866769659335,-0.10983866769659334,0.5098386676965934,0.08,21.6,16.2,16.2,15,-0.33,0.33,1.2780845042484477,1,0.39999999999999997
51,36,36,Schagen,4,M_early,M,spine_BMAD,Estrogen,-0.49,0.4,1.5491933384829668,-0.89,-0.08999999999999997,0.24,g/cm^3,0.3485685011586675,-0.10856850115866751,0.5885685011586674,0.09,21.6,19.2,16.2,15,-0.33,0.33,1.2780845042484477,1.2,0.44999999999999996
7,0,0,Schagen,2,M_early,M,hip_BMAD,GnRHa,-0.94,0.27,1.0457055034760028,-1.21,-0.6699999999999999,0.3,g/cm^3,0.03872983346207417,0.26127016653792584,0.33872983346207414,0.01,24,14.1,14.1,15,-0.94,NA,NA,1,0.03333333333333333
7,24,24,Schagen,2,M_early,M,hip_BMAD,GnRHa,-1.23,0.35,1.355544171172596,-1.58,-0.88,0.28,g/cm^3,0.03872983346207417,0.24127016653792585,0.3187298334620742,0.01,24,16.1,14.1,15,-0.94,NA,NA,0.9333333333333335,0.03333333333333333
52,0,0,Schagen,4,M_early,M,hip_BMAD,Estrogen,-0.88,0.23,0.890786169627706,-1.11,-0.65,0.28,g/cm^3,0.03872983346207417,0.24127016653792585,0.3187298334620742,0.01,21.6,16.2,16.2,15,-0.94,0.27,1.0457055034760028,1,0.03571428571428571
52,36,36,Schagen,4,M_early,M,hip_BMAD,Estrogen,-0.35,0.37,1.4330038380967443,-0.72,0.020000000000000018,0.31,g/cm^3,0.07745966692414834,0.23254033307585165,0.38745966692414835,0.02,21.6,19.2,16.2,15,-0.94,0.27,1.0457055034760028,1.107142857142857,0.07142857142857142
57,0,0,Schagen,2,F_early,F,spine_aBMD,GnRHa,-0.28,0.27,2.0204949888579287,-0.55,-0.010000000000000009,0.75,g/cm^2,0.1161895003862225,0.6338104996137774,0.8661895003862226,0.03,24,14.5,14.5,56,-0.28,NA,NA,1,0.04
57,24,24,Schagen,2,F_early,F,spine_aBMD,GnRHa,-1.04,0.26,1.9456618411224496,-1.3,-0.78,0.8,g/cm^2,0.1161895003862225,0.6838104996137775,0.9161895003862226,0.03,24,16.5,14.5,56,-0.28,NA,NA,1.0666666666666667,0.04
58,0,0,Schagen,2,F_early,F,hip_aBMD,GnRHa,0.09,0.26,1.9456618411224496,-0.17,0.35,0.79,g/cm^2,0.22449944320643647,0.5655005567935636,1.0144994432064365,0.03,24,14.5,14.5,56,0.09,NA,NA,1,0.03797468354430379
58,24,24,Schagen,2,F_early,F,hip_aBMD,GnRHa,-0.5,0.24,1.7959955456514918,-0.74,-0.26,0.83,g/cm^2,0.22449944320643647,0.6055005567935635,1.0544994432064365,0.03,24,16.5,14.5,56,0.09,NA,NA,1.0506329113924049,0.03797468354430379
