id,month,study,table,cohort,sex,measure,treatment,z,SD,SD_lower,SD_upper,SE,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated,age,age_0,n,baseline
26,0,Carmicahael,2,M+F,NA,HAZ_hip_BMD,GnRHa,-0.5,1.3181177362323493,-1.8181177362323493,0.8181177362323493,0.28763687148326555,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,21,-0.5
26,24,Carmicahael,2,M+F,NA,HAZ_hip_BMD,GnRHa,-1.2,1.2082745915463198,-2.40827459154632,0.00827459154631982,0.26366713219299337,NA,NA,NA,NA,NA,NA,29,15.766666666666666,13.766666666666666,21,-0.5
27,0,Carmicahael,2,M+F,NA,spine_BMD,GnRHa,-0.2,1.259109485315577,-1.459109485315577,1.0591094853155771,0.36347360014307983,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,12,-0.2
27,36,Carmicahael,2,M+F,NA,spine_BMD,GnRHa,-1.5,1.10172079965113,-2.60172079965113,-0.39827920034887,0.3180394001251948,NA,NA,NA,NA,NA,NA,29,16.766666666666666,13.766666666666666,12,-0.2
28,0,Carmicahael,2,M+F,NA,HAZ_spine_BMD,GnRHa,-0.4,1.1804151424833536,-1.5804151424833535,0.7804151424833535,0.34075650013413733,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,12,-0.4
28,36,Carmicahael,2,M+F,NA,HAZ_spine_BMD,GnRHa,-1.3,1.3378038281478009,-2.637803828147801,0.03780382814780081,0.38619070015202234,NA,NA,NA,NA,NA,NA,29,16.766666666666666,13.766666666666666,12,-0.4
29,0,Carmicahael,2,M+F,NA,hip_BMD,GnRHa,-0.3,1.4951925138122477,-1.7951925138122478,1.1951925138122477,0.43162490016990723,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,12,-0.3
29,36,Carmicahael,2,M+F,NA,hip_BMD,GnRHa,-1.1,1.0230264568189062,-2.1230264568189066,-0.07697354318109384,0.2953223001162523,NA,NA,NA,NA,NA,NA,29,16.766666666666666,13.766666666666666,12,-0.3
30,0,Carmicahael,2,M+F,NA,HAZ_hip_BMD,GnRHa,-0.5,1.5738868566444713,-2.0738868566444713,1.0738868566444713,0.45434200017884974,NA,NA,NA,NA,NA,NA,29,13.766666666666666,13.766666666666666,12,-0.5
30,36,Carmicahael,2,M+F,NA,HAZ_hip_BMD,GnRHa,-1,1.259109485315577,-2.259109485315577,0.2591094853155771,0.36347360014307983,NA,NA,NA,NA,NA,NA,29,16.766666666666666,13.766666666666666,12,-0.5
